GeneID,GSM4928875,GSM4928876,GSM4928877,GSM4928878,GSM4928879,GSM4928880,GSM4928881
100287102,0.2221,0,0.1662,0.0454,0.02111,0.1231,0.1423
653635,16.23,11.18,18.01,11.13,12.05,12.57,13.07
102466751,26.98,17.45,40.38,16.54,20,11.36,16.59
107985730,0.2557,0.08167,0.08507,0,0,0.1512,0.08738
100302278,0.3323,0,0,0.2717,0,0,0
645520,0.08117,0.2722,0.081,0,0.03086,0.03598,0
79501,0,0,0,0,0,0,0
100996442,0.3374,0.2334,0.5611,0.2145,0.5986,0.1495,0.4034
729737,1.625,2.408,5.836,1.445,1.752,3.053,4.637
102725121,0.08562,0,0.1994,0.1167,0,0,0.234
102723897,15.52,13.92,13.38,12.65,10.83,13.81,12.25
102465909,7.419,11.63,16.15,7.169,6.667,8.371,6.913
107985721,0.0339,0.01624,0.1184,0.01386,0.02578,0.03005,0
112268260,0.09739,0.05332,0.4581,0.08531,0.09522,0.04934,0.1212
729759,0.04884,0,0,0,0,0,0
100132287,2.319,3.65,7.121,1.424,3.176,3.015,3.733
105378947,0.01957,0.05626,0.9571,0.144,0.07442,0.03471,0.1003
101928626,0,0,0.05735,0,0,0,0
113219467,245.5,235.2,244.3,170.6,213.2,387.7,143.7
81399,0.04761,0.06081,0.1504,0.06488,0.06034,0.01407,0.0244
100133331,2.522,5.656,5.944,1.466,3.795,2.74,2.684
107984841,6.389,11.48,10.13,3.887,8.775,1.8,7.158
107984847,18.44,25.64,34.73,10.05,17.83,3.186,18.51
107984849,5.569,8.474,15.53,4.285,4.609,2.178,10.07
100288069,4.55,4.647,5.775,1.586,5.978,1.127,2.674
105378580,0.4106,0.3763,0.4008,0.4087,0.4616,0.2216,0.2379
400728,0.5898,0.5877,0.4238,0.27,0.2512,0.251,0.266
79854,1.672,0.8674,1.911,1.224,1.086,1.235,0.8209
643837,2.459,1.732,3.004,1.369,1.813,1.185,1.502
107984850,0.01869,0,0.1678,0.0764,0,0,0.03831
284593,0,0,1.395,0,0,0,0
284600,2.603,0.2961,2.871,1.264,0.3526,0.411,1.218
100130417,1.401,1.138,0.1216,0.0996,1.714,3.726,1.311
107985728,0.4528,1.121,0.08787,0.07199,1.167,1.294,0.6833
148398,6.009,5.842,2.112,2.478,10.23,14.68,2.905
26155,19.8,21.42,17.56,11.82,17.81,21.33,13.3
339451,3.121,4.183,1.69,4.165,3.544,3.549,3.974
84069,0.1718,0.3072,0.9256,1.198,0.2699,0.4365,1.502
84808,0.03806,0.06077,0.1013,0.2178,0.09647,0.1687,0.8322
57801,2.341,3.227,1.144,4.98,2.761,4.828,4.725
9636,20.88,14.9,16.02,148.5,77.25,222.8,106
375790,7.963,18.2,3.413,8.434,14.59,15.9,18.41
100288175,0.3767,0.3158,0.188,0.7315,0.3581,0.1252,1.593
112267874,0.06787,0.08128,0.1862,0.2913,0.07741,0.01504,0.2956
105378948,0.1885,0.2558,0.1254,0.2954,0.2389,0.1949,0.4508
401934,0.09655,0.02313,0.7949,1.105,0.1652,0,2.4
54991,3.376,4.318,2.917,3.145,3.255,3.377,3.402
254099,0.08493,0,0,0.04629,0,0,0
406984,0,0.925,0,0,0.7342,0,0
406983,0,3.906,0,0,1.163,0,0
554210,5.526,14.29,0.5514,0.4518,4.202,3.429,0
100506376,0.1208,0.1473,0.1315,0.03592,0.09187,0.01947,0
254173,0.363,0.1943,0.04261,0.02619,0.1624,0.2177,0.04377
8784,4.928,2.432,0.01863,2.305,3.733,6.884,0.8227
7293,0.6372,0.3351,0.2244,0.3677,0.95,1.329,0.2945
51150,46.95,43.88,32.31,67.24,58,82.48,55.06
126792,4.709,5.718,2.578,3.489,5.682,6.566,3.1
388581,0.2102,0.3357,0.7342,1.26,0.4263,0.2174,0.5028
118424,8.016,8.703,6.553,7.781,7.913,9.516,6.644
101928895,0.8783,0.9992,0.5204,0.2693,0.5009,1.095,0.3938
6339,0.8109,1.525,0.6594,0.5525,0.6738,1.398,0.431
116983,8.119,10.99,8.902,7.254,8.351,9.08,5.33
102465434,0,0.7203,0,0.6147,1.143,0,0.7706
109623456,6.006,6.277,4.359,3.571,4.982,5.325,1.119
126789,3.67,5.29,6.223,5.179,4.643,5.327,2.563
54973,24.88,31.05,24.58,13.48,20.76,23.45,13.32
102465435,5.645,4.056,5.633,3.461,3.219,6.881,1.446
80772,4.871,7.86,3.717,3.342,3.98,4.145,4.297
83756,0.08901,0.09745,0.1396,0.1144,0.01934,0.1353,0.05213
1855,10.25,12.79,14.94,15.82,10.88,11.52,22.33
102466740,3.109,2.234,3.103,1.271,3.547,2.067,3.187
54587,45.47,42.16,10.08,42.68,75.36,152.2,44.11
54998,20.95,20.55,21,28.98,17.67,28.25,14.98
81669,37.04,39.27,37.58,40.07,32.59,28.73,25.1
148413,10.52,8.144,6.886,9.46,9.058,11.05,5.782
55052,38.01,32.75,29.43,32.98,33.01,47.43,22.36
107984868,0.3094,0.1026,0.2137,0.1168,0.181,0,0.03659
441869,2.307,1.237,3.357,3.065,3.843,4.93,2.393
105378585,0.3624,0.4629,0.5223,0.2963,0.3062,0.9281,0.2064
643965,0.6525,0.4465,1.116,0.3049,0.7088,1.57,0.09554
102724312,0.7682,0.8464,1.035,1.633,1.11,0.9535,1.457
107985729,0.4702,0.3904,0.2815,0.3076,0.596,0.5003,0.3856
64856,12.18,9.478,30.77,21.02,17.94,25.21,19.31
219293,0.7596,0.9211,0.1777,0.7569,0.6228,1.084,0.3528
83858,5.371,5.994,5.841,3.835,5.141,5.261,3.112
55210,8.044,7.95,8.614,6.668,7.447,8.583,5.328
339453,1.129,0.7,0.5302,0.4073,0.7576,0.5594,0.3744
29101,43.72,37.85,39.21,42.23,30.77,42.72,47.85
643988,1.317,2.131,0.8403,1.006,0.7717,1.187,2.988
105378586,0.3207,0.4609,0.32,0.1311,0.2439,0.5687,0.4109
142678,4.477,5.649,6.11,2.929,4.091,4.204,3.769
8510,0.8131,0.4769,5.249,0.3934,0.8328,0.9856,0.1701
984,12.8,10.6,10.35,9.652,8.441,13.82,9.115
728661,12.51,19.93,10.04,5.672,12.62,11.3,7.132
8511,1.114,1.988,8.335,0.6208,1.001,1.571,0.5189
728642,15.5,14.29,11.48,11.38,14.26,14.4,11.02
9906,5.085,7.388,2.835,2.246,5.778,5.216,2.094
112268218,2.212,2.681,1.959,1.55,1.974,3.662,1.596
65220,12.3,14.86,10.54,9.117,15.14,15.09,10.19
2782,88.5,80.9,39.95,76.38,94.12,96.32,86.97
105378949,0.1248,0.2989,0.1245,0.07653,0.427,0.166,0.1919
163688,0.2043,0.9786,0.2446,0.0167,0.5282,0.7063,0.335
339456,0,0.09399,0.2447,0,0,0,0
85452,0.2665,0.07719,0.08658,0.02027,0.03299,0.04396,0.1016
107984872,0.03277,0,0.0327,0,0,0.01453,0.03359
105378589,0,0.01851,0,0.007898,0,0.04282,0
2563,0.03579,0.1629,0.008928,0.01463,0.06804,0.07932,0.06419
105378590,0,0.01975,0.2263,0,0,0,0
105378591,0,0,0,0,0,0,0
5590,2.066,2.416,56.54,2.68,1.348,1.223,3.513
100506504,0.9151,1.438,30.53,2.155,1.113,0.5841,1.688
199990,3.426,3.798,12.55,3.824,2.494,4.209,2.787
112268219,1.889,3.142,1.422,1.292,1.919,1.888,1.267
105378593,0.4893,0.6819,0.1332,0.1455,0.4397,0.2366,0.3648
6497,5.934,7.146,3.976,3.99,8.229,6.514,6.039
79906,0.9613,1.204,0.4206,0.3869,0.9784,0.7474,0.3411
100129534,1.122,1.27,0.3868,0.3503,0.9929,0.7958,0.2091
11079,36.11,34.04,45.3,31.7,37.11,40.4,26.92
5192,8.877,8.906,9.497,7.348,7.707,9.103,5.024
9651,1.739,0.9797,0.2364,0.685,3.928,2.612,0.1895
55229,3.848,4.412,4.115,3.204,3.463,3.211,3.105
388585,0,0.02568,0,0,0,0.02376,0
115110,2.403,2.359,0.1982,1.339,2.424,2.35,1.608
8764,9.858,11.1,0.903,6.911,6.867,10.06,9.492
100996583,0.1314,0.5036,0,0.1074,0.2498,0.466,0.1347
127281,3.173,3.587,1.9,2.802,2.027,3.755,2.943
79258,0.4555,0.595,0.2754,0.3611,0.2729,0.5996,0.3112
105378597,0,0,0.04359,0,0,0.07745,0
100287898,0.2397,0.2048,0.04525,0.1006,0.133,0.1091,0.01992
105378603,0,0,0,0,0,0,0
105378602,0,0,0,0,0,0,0
105378601,0,0,0,0,0,0,0
112268220,0.0921,0,0,0,0,0,0
107985732,0,0,0,0,0,0,0
105378600,0.05903,0,0,0,0,0,0
105378598,0.04888,0.06557,0,0,0.007435,0.01734,0
107984904,0,0,0,0,0,0.04946,0
105378599,0,0,0,0,0,0,0
140625,0,0.03058,0,0,0,0,0
440556,0,0,0.01189,0.02923,0.01813,0.01057,0
63976,0.005273,0.0101,0,0.01724,0.00401,0.0187,0.01621
100422968,0,0,0,0,0,0,0
105378606,0,0,0,0,0,0,0
107984909,0,0.03574,0,0,0,0,0
105378605,0,0,0,0,0,0,0
105378604,0,0.013,0.003386,0.002774,0,0.003008,0.003477
27237,2.183,3.696,5.463,11.95,2.222,0.6348,5.493
1953,0.6299,1.891,1.421,1.831,1.151,0.5866,2.43
105378608,0,0,0.1212,0.03722,0.02308,0,0.04667
693135,0,0,0,0,0,0,0
105378607,0,0,0,0,0,0,0
127262,21.62,22.45,11.28,19.32,21.9,23.76,17.23
49856,5.868,7.832,4.354,4.551,4.958,7.447,5.217
7161,0.2634,0.1814,0.09858,0.1413,0.1127,0.05109,0.1688
105378610,0,0,0,0.01733,0,0.01879,0
105378609,0.06469,0,0,0,0,0,0
57212,3.673,5.684,3.439,2.248,3.858,3.32,2.673
148870,0.02495,0,0.0249,0,0,0,0.01279
388588,0.08004,0.9969,4.712,1.374,0.3043,0.4967,1.969
57470,8.292,9.343,10.09,5.821,7.392,9.147,6.194
9731,5.981,8.995,3.388,4.632,5.82,4.226,4.858
1677,1.21,1.526,0.9773,1.92,1.047,1.179,2.032
107984910,0.1212,0.0387,0.1209,0.01651,0.1075,0.07162,0.0207
339448,2.896,5.878,3.725,4.297,2.887,3.395,3.661
100133612,0.2115,0.2251,0.09378,0.365,0.1429,0.1666,0.1686
728716,0,0,0,0,0,0,0
105376672,0,0,0,0,0,0,0
105376673,0,0,0,0,0,0,0
284661,0,0,0,0,0,0,0
105376674,0,0,0,0,0,0,0
105376679,0,0,0,0,0,0,0
107985376,0,0.1578,0,0,0,0.073,0.0844
55966,0.2598,0.4003,0.05606,0.2698,0.5019,0.414,0.565
105376680,0,0,0,0,0,0,0
102724429,0,0,0,0,0,0,0
105376681,0,0,0,0,0,0,0
105376682,0,0,0,0,0,0,0
107984911,0,0,0,0,0,0,0
105376686,0,0,0.06599,0,0,0,0
100616421,1.31,0,0.6538,0,0.4982,0,0
261734,1.872,2.356,0.7996,1.18,1.715,1.927,0.8776
8514,3.423,3.517,0.8624,4.267,3.221,4.354,6.437
26038,0.009312,0.03123,0.01394,0,0.007081,0.01651,0.01432
105376687,0,0,0,0,0,0,0
6146,154.7,116.8,88.73,131.6,82.86,116,68.93
107985733,2.982,3.445,7.438,2.438,1.534,1.322,2.876
102724450,0.728,0.8137,1.211,0.7936,0.2768,0.5378,0.1244
388591,1.626,2.803,11.71,1.994,1.552,0.9288,2.472
23463,14.41,19.52,16.53,13.05,16.71,14.26,14.9
148645,0.05586,0.05352,0.6411,0.1827,0,0.1486,0.3722
390992,0,0,0,0,0,0,0
387509,6.299,4.456,2.349,1.478,5.112,5.217,2.085
11332,7.168,3.924,5.365,12.35,4.927,9.532,10.58
54626,0.3336,0.01031,61.36,11.12,0.09001,0.1431,29.01
83715,0.3195,0.1555,2.441,0.2955,0.1155,0.1207,0.1825
100422975,0,0,0,0,0,0,0.7462
8718,6.367,7.797,4.252,14.37,4.041,8.446,5.496
57449,9.399,12.35,4.969,14.66,6.551,11.33,7.168
79707,2.061,2.782,2.219,1.301,2.384,2.373,1.238
80835,0.01078,0.01032,0,0,0.03278,0.01911,0.01105
107984912,0,0,0,0,0.0782,0,0.1054
3104,5.525,6.302,3.229,3.818,4.329,4.641,3.05
9903,8.014,11.81,4.652,7.273,11.49,12.86,8.309
107984913,0.256,0.7134,0.4412,0.09512,0.2831,0.5157,0.0954
148479,4.307,6.207,5.834,4.858,4.6,4.294,4.317
90326,4.488,5.205,4.148,4.141,4.196,5.588,2.552
55735,11.49,12.76,12.72,8.21,11.09,10.35,8.044
100505887,0,0,0,0,0,0,0
110841581,0.4985,0,0,0.1359,0.06318,0.1473,0.2555
23261,0.7062,0.655,0.3003,1.212,0.5168,0.7495,0.5287
105376692,0,0,0,0,0,0,0
102725193,0,0,0,0,0,0,0
101928836,0.06198,0.02969,0,0,0,0.02747,0
105376691,0,0,0,0,0,0,0
105376689,0.2536,0.1914,0.1227,0.09423,0.09348,0.06812,0.1024
9341,45.25,33.57,36.89,57.45,45.51,60.33,43.2
8863,2.535,2.238,0.8505,1.861,1.797,1.76,1.686
10911,1.617,1.136,0.2151,0.06609,1.209,2.819,2.569
3604,0.09346,0.05117,0.006662,0.2729,0.1472,0.142,0.219
11315,77.53,62.51,50.02,83.34,64.04,106.2,46.34
54206,6.04,6.894,32.4,14.27,7.843,5.629,44.56
107984915,0,0,0,0.03453,0,0.1498,0
102724539,0,0,0.09208,0,0,0,0
105376695,0,0,0,0.2131,0,0,0
50651,0.4315,1.292,0.2691,0.3381,0.4375,0.5897,0.5344
473,9.253,15.6,14.69,5.24,12.98,8.073,5.908
102724552,0.5287,0.8231,0.1319,0.05403,0.4523,0.6445,0.1355
106632271,0,0,0,0,0,0,0
2023,154.6,168.6,123.9,183,113.1,156.1,279.5
