GeneID	GSM4928875	GSM4928876	GSM4928877	GSM4928878	GSM4928879	GSM4928880	GSM4928881
100287102	8	0	6	2	1	5	5
653635	626	450	696	525	611	547	492
102466751	40	27	60	30	39	19	24
107985730	3	1	1	0	0	2	1
100302278	1	0	0	1	0	0	0
645520	2	7	2	0	1	1	0
79501	0	0	0	0	0	0	0
100996442	36	26	60	28	84	18	42
729737	194	300	698	211	275	411	540
102725121	3	0	7	5	0	0	8
102723897	596	558	515	594	547	598	459
102465909	11	18	24	13	13	14	10
107985721	2	1	7	1	2	2	0
112268260	14	8	66	15	18	8	17
729759	1	0	0	0	0	0	0
100132287	221	363	680	166	398	324	347
105378947	1	3	49	9	5	2	5
101928626	0	0	1	0	0	0	0
113219467	380	380	379	323	434	677	217
81399	6	8	19	10	10	2	3
100133331	235	550	555	167	465	288	244
107984841	129	242	205	96	233	41	141
107984847	195	283	368	130	248	38	191
107984849	34	54	95	32	37	15	60
100288069	136	145	173	58	235	38	78
105378580	46	44	45	56	68	28	26
400728	25	26	18	14	14	12	11
79854	48	26	55	43	41	40	23
643837	495	364	606	337	480	269	295
107984850	1	0	9	5	0	0	2
284593	0	0	52	0	0	0	0
284600	219	26	242	130	39	39	100
100130417	46	39	4	4	74	138	42
107985728	36	93	7	7	122	116	53
148398	335	340	118	169	750	923	158
26155	1190	1344	1058	869	1408	1446	780
339451	223	312	121	364	333	286	277
84069	15	28	81	128	31	43	128
84808	3	5	8	21	10	15	64
57801	98	141	48	255	152	228	193
9636	290	216	223	2523	1411	3490	1436
375790	1411	3366	606	1828	3400	3178	3183
100288175	8	7	4	19	10	3	33
112267874	4	5	11	21	6	1	17
105378948	12	17	8	23	20	14	28
401934	4	1	33	56	9	0	97
54991	179	239	155	204	227	202	176
254099	3	0	0	2	0	0	0
406984	0	2	0	0	2	0	0
406983	0	8	0	0	3	0	0
554210	10	27	1	1	10	7	0
100506376	11	14	12	4	11	2	0
254173	34	19	4	3	20	23	4
8784	264	136	1	151	263	416	43
7293	51	28	18	36	100	120	23
51150	4166	4065	2873	7298	6769	8256	4767
126792	288	365	158	261	457	453	185
388581	6	10	21	44	16	7	14
118424	758	859	621	900	984	1015	613
101928895	32	38	19	12	24	45	14
6339	54	106	44	45	59	105	28
116983	1174	1659	1290	1283	1588	1481	752
102465434	0	1	0	1	2	0	1
109623456	11	12	8	8	12	11	2
126789	113	170	192	195	188	185	77
54973	1426	1858	1412	945	1565	1516	745
102465435	8	6	8	6	6	11	2
80772	323	544	247	271	347	310	278
83756	7	8	11	11	2	12	4
1855	747	973	1091	1410	1043	947	1588
102466740	4	3	4	2	6	3	4
54587	4800	4646	1066	5511	10463	18124	4543
54998	678	694	681	1147	752	1031	473
81669	4698	5199	4777	6216	5435	4110	3106
148413	401	324	263	441	454	475	215
55052	866	779	672	919	989	1219	497
107984868	26	9	18	12	20	0	3
441869	168	94	245	273	368	405	170
105378585	9	12	13	9	10	26	5
643965	7	5	12	4	10	19	1
102724312	20	23	27	52	38	28	37
107985729	15	13	9	12	25	18	12
64856	1193	969	3020	2518	2311	2785	1845
219293	64	81	15	78	69	103	29
83858	734	855	800	641	924	811	415
55210	506	522	543	513	616	609	327
339453	34	22	16	15	30	19	11
29101	1224	1106	1100	1446	1133	1349	1307
643988	61	103	39	57	47	62	135
105378586	4	6	4	2	4	8	5
142678	946	1246	1294	757	1137	1002	777
8510	49	30	317	29	66	67	10
984	1218	1053	987	1123	1056	1483	846
728661	1884	3134	1516	1045	2500	1919	1048
8511	22	41	165	15	26	35	10
728642	1031	992	765	926	1247	1080	715
9906	809	1227	452	437	1209	936	325
112268218	98	124	87	84	115	183	69
65220	1366	1722	1173	1238	2211	1890	1104
2782	6742	6433	3050	7117	9429	8277	6464
105378949	4	10	4	3	18	6	6
163688	10	50	12	1	34	39	16
339456	0	2	5	0	0	0	0
85452	43	13	14	4	7	8	16
107984872	2	0	2	0	0	1	2
105378589	0	2	0	1	0	5	0
2563	4	19	1	2	10	10	7
105378590	0	1	11	0	0	0	0
105378591	0	0	0	0	0	0	0
5590	331	404	9077	525	284	221	549
100506504	25	41	836	72	40	18	45
199990	586	678	2151	800	561	812	465
112268219	110	191	83	92	147	124	72
