"Gene"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"HLA-J"	6.94792658338757e-19	3.53620041906941e-23	0.328853122396809	9.91630071552564	3.26100645292632	719.595326735896
"KCND2"	1.02201651080847e-16	1.04032625285878e-20	0.496343198750495	9.33185633505403	4.63180342362078	404.116015420545
"MX1"	1.43751751311404e-12	2.19490662629384e-16	0.322820755838223	8.21092516193248	2.65065706690613	2592.59133275581
"LAMA2"	2.93156456082937e-10	7.46021111774575e-14	0.257362434036595	-7.47950669548437	-1.92494404854287	4249.36113551157
"MMP8"	2.93156456082937e-10	6.92758016050715e-14	0.822058934863506	7.48923576472637	6.15659317569264	118.850091766167
"ISG15"	6.35317629533912e-10	1.94009862439102e-13	0.431301693736166	7.35286017419097	3.17130104693376	1363.89321927251
"LFNG"	8.45092448865116e-10	3.01081389559029e-13	0.335927400934304	7.29391233293931	2.45022501264697	380.951851002067
"IFI44L"	1.03787473019522e-09	4.22587430861245e-13	0.528657110336879	7.24812279038847	3.83177164973365	1811.39740680268
"IFIT1"	1.03990783461375e-08	5.29269052633222e-12	0.419644056374721	6.89749661174859	2.89449345698508	1030.32246133268
"TNFRSF21"	1.43123911096914e-08	8.01284111393555e-12	0.412546627764765	6.83831793768223	2.82112500477411	5314.09533253361
"MMP10"	1.52747819966568e-08	9.32906066571058e-12	1.10745868135935	6.81649171164496	7.54898292247526	527.645229413098
"NECTIN2"	3.22663837935563e-08	2.13488899285542e-11	0.225873560113544	6.69648736464894	1.51255944130862	3354.15449309894
"MRAS"	4.31527248221688e-08	3.07480734685649e-11	0.24232424360922	6.64294301910861	1.60974614244465	1433.0960791915
"HSPA2"	4.43322040422825e-08	3.38448218971009e-11	0.209925102580005	6.62879063169734	1.39154955334044	2716.01593810294
"RANBP3L"	8.58158533116891e-07	6.98826167033299e-10	0.679290713564518	-6.16635383386334	-4.18874689589633	37.284192535047
"LEFTY2"	1.45861064699967e-06	1.26203079188693e-09	1.0407914799064	6.07215747746071	6.31984976719103	1774.28979040307
"WNT7B"	2.1343587560052e-06	1.95533680822951e-09	0.779558166577345	-6.00147447806883	-4.67849844088406	27.8901830900812
"SSPN"	2.37123585734086e-06	2.29303141742042e-09	0.255111340860329	-5.97555856574716	-1.52443275809718	265.909600153953
"TLE6"	2.54009492575798e-06	2.58560151237579e-09	0.341890006313187	5.95595330686016	2.03628091368347	441.755913271139
"ARG1"	3.85209029843122e-06	4.11715677254966e-09	1.05705159105462	5.87941631717619	6.21484637254357	310.878698326807
"GSTA1"	4.31677536726179e-06	4.83352290715388e-09	0.989966139954667	5.85280446207641	5.79407824123123	131.555059764156
"IFIT3"	5.29703661499357e-06	6.20072486486421e-09	0.41674960361839	5.8112522474556	2.4218370706536	1619.44052749641
"PCSK5"	7.89449028823575e-06	9.64310702960393e-09	0.19233654912597	5.7368895977594	1.10341354794972	697.232907654038
"CTIF"	1.36509773866613e-05	1.73694235884839e-08	0.264845167611434	5.63634797007953	1.49275952285208	1790.30251180216
"CXCL1"	1.41110674431598e-05	1.86730330579273e-08	1.26453313118386	5.62386617384867	7.11156510217586	140.407880424539
"ECM1"	1.68523630820415e-05	2.31582758151018e-08	0.481865640419865	5.58658160057161	2.69198172071727	3967.61936529391
"RHOB"	1.88244614728674e-05	2.81136991039188e-08	0.317414521879844	5.55279544572653	1.76253791150186	7282.43581104239
"FOSL2-AS1"	1.88244614728674e-05	2.87425612879693e-08	0.549449681441367	5.54892854432437	3.04885702101993	88.7573580877401
"OAS1"	1.88244614728674e-05	2.73650393660508e-08	0.409527494641594	5.55750994727845	2.27595312515468	944.72110526136
"CCL13"	2.21995454388901e-05	3.50257486057407e-08	1.21882988168747	5.51425648973631	6.72094058497967	711.06990314792
"IFIH1"	2.26619619767657e-05	3.69087328611818e-08	0.332604063797323	5.50503863006607	1.83099821972122	1016.49625032407
"RSAD2"	2.28234048427023e-05	3.83332837850761e-08	0.485557837131512	5.49836316118455	2.66977332430836	373.830512771625
"SERPINB6"	2.34013246331387e-05	4.04949632291692e-08	0.184161611077103	5.48867949544107	1.01080405856629	3156.21285285249
"LTBP2"	2.42995891658033e-05	4.32861166939696e-08	0.451317366899468	5.47689202269332	2.47181648647465	5779.81475638061
"PDCD6IP-DT"	3.19167779616682e-05	5.84794384476819e-08	0.247886974014219	5.42338929660585	1.34438756163673	178.493379914742
"CMPK2"	3.62349437072495e-05	6.82355922825851e-08	0.429404925851484	5.39575608559273	2.31696424184664	255.76919357325
"KERA"	3.66510735451474e-05	7.08846088515676e-08	1.09911488274582	5.38891426530816	5.92303587084143	128.526307878221
"ANKRD1"	4.85142940043505e-05	9.62977130583098e-08	1.33109955512598	5.33357509239581	7.09951943271909	441.859914738739
"STEAP2"	5.85482067079164e-05	1.19532316673356e-07	0.657674424763631	-5.2942095323815	-3.48186620878713	59.3760113765887
"LINGO2"	5.85482067079164e-05	1.22174087694654e-07	0.528166315224064	-5.29021286033368	-2.79411223319339	207.95429345942
"ATRNL1"	5.90077309150905e-05	1.26136232615727e-07	0.440724229332779	5.28437268715511	2.32895108005362	101.81370674009
"PAMR1"	6.52351376395394e-05	1.4276826743181e-07	0.516293333680762	5.26165010027581	2.71655487093311	5996.32650412259
"UGDH"	6.6319206523493e-05	1.48516138387301e-07	0.35415966357239	5.25438967535383	1.86089287970155	3803.36284991477
"PGD"	7.93364191139407e-05	1.81704950128631e-07	0.250185392248108	5.21714200963662	1.30525272009502	3569.05459426476
"EXT2"	9.68625058722742e-05	2.31704894950982e-07	0.242831794978971	5.17191668779946	1.25590581278003	3941.81191652372
"PLPP3"	0.000130336526272116	3.18411709133833e-07	0.300511478247164	5.11220991857807	1.53627775974171	10030.5288907689
"SEMA3A"	0.000136742292965373	3.43149843514991e-07	0.758034624177792	5.09806122467924	3.8645069244851	2387.2506530588
"DCUN1D3"	0.000136742292965373	3.47980183645595e-07	0.205362990947214	5.0954138797488	1.04640943445916	458.263867834973
"ITGA3"	0.000138916744972696	3.60583977687677e-07	0.316091874136261	5.08866972416271	1.60848714997104	2690.57671218026
"PNKD"	0.000155695153887106	4.26104702014652e-07	0.272940045311376	5.05690977690942	1.3802331836452	2804.35076280876
"UCHL1"	0.000155695153887106	4.12921987857638e-07	0.466030286444783	5.0629020714728	2.35946570261035	327.883887047741
"CITED2"	0.000155695153887106	4.35832322057759e-07	0.448706948112643	5.05260162648069	2.26713745584713	7944.36811635472
"STXBP5-AS1"	0.000155695153887106	4.29494518874048e-07	0.543760485665617	5.05539782724543	2.74892557777588	178.54325394454
"ANKRD30A"	0.000170022429954753	4.84591616320551e-07	0.951313124632955	-5.03231521490043	-4.78730751122489	15.764321788265
"LINC02635"	0.000174492995769413	5.06214411586753e-07	1.00808985200298	-5.02394233868335	-5.06458528867482	20.6519283318811
"ST6GALNAC2"	0.000175573020466028	5.18283549828463e-07	0.414742195511988	5.01941765903793	2.08176430010104	1531.91972133136
"TRMT44"	0.000200515312521206	6.12322819181207e-07	0.270560594013547	4.98728948509887	1.34936400560587	963.332735727866
"TIMP2"	0.000251978805336664	7.82303905004912e-07	0.254260479737023	4.9397310672458	1.25597839092979	24095.2314929719
"ROS1"	0.000258590652316214	8.2915365919796e-07	0.978507084558244	4.92837733411897	4.82245213681169	491.353599740704
"FGF14"	0.000258590652316214	8.16583582377957e-07	0.871879955790829	-4.93136173222657	-4.29955544908228	44.2005927457486
"LOC100507053"	0.000259309134458142	8.44655161101441e-07	0.385553002606473	-4.92475638740553	-1.89875461226961	104.986505082014
"CD151"	0.000262841093482276	8.69537412273408e-07	0.335923287198927	4.91907591940172	1.65243215282651	6423.84022739204
